Parent KZA,Daughter KZA,Emitted Particles,Cross Sections
22481,224820, total,"[789.8877, 380.56960000000004, 199.1075, 176.0522, 155.7091, 137.7533, 121.9285, 107.9707, 95.64930000000001, 84.73504, 75.09049, 66.60247, 59.087050000000005, 52.445440000000005, 46.593999999999994, 41.40698999999999, 36.82671, 32.77748, 29.194390000000002, 26.01364, 23.2024, 20.70224, 18.48028, 16.504669999999997, 14.74577, 13.17563, 11.77686, 10.52849, 9.422582, 8.454823, 7.62474, 6.944971, 6.438816, 6.152276, 6.167031, 6.54833, 6.864012, 4.193899, 2.698784, 2.698694, 2.698547, 2.698384, 2.698245, 2.699138, 2.701663, 2.706695, 2.716953, 2.897345, 4.447054, 7.695594, 13.173760000000001, 14.341539999999998, 13.702179999999998, 13.364849999999999, 13.18906, 12.9166, 12.59422, 12.2403, 11.625, 11.19891, 10.638829999999999, 9.881002, 9.157153, 8.515171, 7.740433, 7.195476, 6.865722, 6.595482, 6.4548, 6.14799, 5.696944, 5.443527, 5.310818, 5.171311, 5.024515, 4.870343, 4.70822, 4.550612, 4.425759, 4.297983, 4.18344, 4.076886, 3.96556, 3.863901, 3.763682, 3.672723, 3.591212, 3.46301, 3.32823, 3.25741, 3.224899, 3.211945, 3.197433, 3.120188, 3.000777, 2.910227, 2.847066, 2.755811, 2.677294, 2.650966, 2.622331, 2.593211, 2.582475, 2.578159, 2.577052, 2.584984, 2.596266, 2.610317, 2.627535, 2.654124, 2.68462, 2.725901, 2.770643, 2.845347, 2.93402, 2.99893, 3.067129, 3.13883, 3.21421, 3.29138, 3.367661, 3.44664, 3.519156, 3.592313, 3.657584, 3.71947, 3.773975, 3.822175, 3.855612, 3.872197, 3.880651, 3.88636, 3.899964, 3.917486, 3.935866, 3.94456, 3.946981, 3.940007, 3.929668, 3.898788, 3.84039, 3.763628, 3.692454, 3.641581, 3.588107, 3.531903, 3.472822, 3.410709, 3.34542, 3.289081, 3.25673, 3.213693, 3.145357, 3.073531, 2.996766, 2.920409, 2.849832, 2.773921, 2.695535, 2.61814, 2.547393, 2.481622, 2.422753, 2.383064, 2.352226, 2.312687, 2.292164, 2.274267, 2.257074, 2.241167, 2.224418, 2.182243, 2.160812, 2.147997, 2.11893]"
22481,224820,z0,"[3.10876, 3.080444, 3.075481, 3.075078, 3.07488, 3.074626, 3.074299, 3.07397, 3.073915, 3.073882, 3.07384, 3.073786, 3.073717, 3.073628, 3.073515, 3.073368, 3.07318, 3.072939, 3.072629, 3.072231, 3.07172, 3.071064, 3.070221, 3.06914, 3.06775, 3.065967, 3.063677, 3.060737, 3.056961, 3.052104, 3.044081, 3.032304, 3.017183, 2.997766, 2.982384, 3.004272, 3.072713, 2.846697, 2.69537, 2.69537, 2.695369, 2.69537, 2.69537, 2.695369, 2.695371, 2.69537, 2.69537, 2.695371, 2.69537, 2.69537, 2.692555, 2.638677, 2.591534, 2.56639, 2.553287, 2.532977, 2.508948, 2.482567, 2.434136, 2.388776, 2.323564, 2.238947, 2.161109, 2.094829, 2.011912, 1.942467, 1.893784, 1.85165, 1.825034, 1.767799, 1.689379, 1.645204, 1.619672, 1.592833, 1.564591, 1.53493, 1.50374, 1.472965, 1.44349, 1.412605, 1.38185, 1.350707, 1.318363, 1.29364, 1.271682, 1.249949, 1.228423, 1.196414, 1.164456, 1.148113, 1.141051, 1.138253, 1.135129, 1.118491, 1.090313, 1.070588, 1.058435, 1.044088, 1.028357, 1.021295, 1.021423, 1.022579, 1.025519, 1.031592, 1.039741, 1.049669, 1.062857, 1.078809, 1.096981, 1.118546, 1.142726, 1.172664, 1.203876, 1.254515, 1.314491, 1.358704, 1.405695, 1.456655, 1.510329, 1.566736, 1.626077, 1.688295, 1.750125, 1.813559, 1.876632, 1.939298, 1.999152, 2.057127, 2.102415, 2.130027, 2.142525, 2.150505, 2.170745, 2.209561, 2.250869, 2.286587, 2.317163, 2.341062, 2.357998, 2.37228, 2.367352, 2.335963, 2.295509, 2.261731, 2.221734, 2.176828, 2.125798, 2.07213, 2.015166, 1.964503, 1.933032, 1.890852, 1.823874, 1.756159, 1.687645, 1.617947, 1.548202, 1.478742, 1.409532, 1.340026, 1.275592, 1.214322, 1.158127, 1.119649, 1.089713, 1.051955, 1.033137, 1.017313, 1.002972, 0.9905433000000001, 0.978434, 0.953426, 0.9437661, 0.9393900000000001, 0.9374213]"
22481,224810, nonelas.,"[1.7371499999999997e-11, 8.343209999999999e-12, 4.33414e-12, 3.82428e-12, 3.37491e-12, 2.9790199999999996e-12, 2.62898e-12, 2.3199e-12, 2.04827e-12, 1.8075799999999999e-12, 1.5947199999999999e-12, 1.40741e-12, 1.24258e-12, 1.0965499999999998e-12, 9.66748e-13, 8.54719e-13, 7.536170000000001e-13, 6.64869e-13, 5.86587e-13, 5.17899e-13, 4.56973e-13, 4.0314500000000005e-13, 3.55872e-13, 3.13805e-13, 2.7793299999999997e-13, 2.4447899999999996e-13, 2.15937e-13, 1.90557e-13, 1.68021e-13, 1.48311e-13, 1.30862e-13, 1.1563600000000001e-13, 1.02149e-13, 8.98677e-14, 7.93935e-14, 7.00054e-14, 6.35234e-14, 0.002253632, 0.0034142990000000004, 0.003323354, 0.003177998, 0.0030145270000000004, 0.002875531, 0.003769839, 0.006296874, 0.01133072, 0.02159828, 0.2019329, 1.751161, 4.998821, 10.47855, 11.70293, 11.110930000000002, 10.798760000000001, 10.63609, 10.38394, 10.08561, 9.758086, 9.191229, 8.810467, 8.315555, 7.642276, 6.996204, 6.420437, 5.728787, 5.253441, 4.973616, 4.744242, 4.630576, 4.382325, 4.008215, 3.798368, 3.691195, 3.578521, 3.459973, 3.335459, 3.204525, 3.077687, 2.982303, 2.885408, 2.802092, 2.727515, 2.649156, 2.570287, 2.492015, 2.422791, 2.362808, 2.266613, 2.163791, 2.109308, 2.083873, 2.073701, 2.062313, 2.001656, 1.910042, 1.838871, 1.788058, 1.712568, 1.649158, 1.629665, 1.600907, 1.570652, 1.557302, 1.546568, 1.537422, 1.53559, 1.533663, 1.531638, 1.530647, 1.536168, 1.543023, 1.553609, 1.567247, 1.59003, 1.618068, 1.638125, 1.659199, 1.681355, 1.704522, 1.723821, 1.74147, 1.758676, 1.768934, 1.778332, 1.781848, 1.781702, 1.775025, 1.764667, 1.753307, 1.744159, 1.739495, 1.736346, 1.72836, 1.709935, 1.685041, 1.65887, 1.631357, 1.602425, 1.572084, 1.529357, 1.474973, 1.428115, 1.398265, 1.380838, 1.365688, 1.353351, 1.342788, 1.335568, 1.329155, 1.326121, 1.324703, 1.322803, 1.319785, 1.316614, 1.310986, 1.304817, 1.301414, 1.293881, 1.285964, 1.278113, 1.271801, 1.267299, 1.264626, 1.263414, 1.262513, 1.260732, 1.259027, 1.256954, 1.254102, 1.250624, 1.245984, 1.228817, 1.217046, 1.208607, 1.181509]"
22481,224810,n,"[1.0248399999999999e-20, 4.55138e-20, 7.28387e-20, 1.16242e-19, 1.3999999999999998e-19, 1.3999999999999998e-19, 1.3999999999999998e-19, 1.3999999999999998e-19, 1.3999999999999998e-19, 1.3999999999999998e-19, 0.16909860000000002, 1.703271, 4.922692, 10.354659999999999, 11.56725, 10.98165, 10.67297, 10.51211, 10.262770000000002, 9.967768, 9.643897, 9.083358, 8.70683, 8.217414, 7.551611, 6.912714, 6.343341, 5.658693, 5.187342, 4.909133, 4.683541, 4.57113, 4.325199, 3.957024, 3.749492, 3.643347, 3.531753, 3.414341, 3.291021, 3.161342, 3.035825, 2.941832, 2.846397, 2.764139, 2.690341, 2.613019, 2.537027, 2.459408, 2.390858, 2.331588, 2.236537, 2.134937, 2.081103, 2.05597, 2.045919, 2.034661, 1.97465, 1.884542, 1.814637, 1.764271, 1.688196, 1.626584, 1.608129, 1.579691, 1.549754, 1.536429, 1.526302, 1.517276, 1.515519, 1.513771, 1.511984, 1.511138, 1.516204, 1.522553, 1.53388, 1.546774, 1.570722, 1.599411, 1.619805, 1.640657, 1.66244, 1.684984, 1.703617, 1.721574, 1.738268, 1.748232, 1.757605, 1.759846, 1.759324, 1.752682, 1.742313, 1.729561, 1.720579, 1.716, 1.712908, 1.704133, 1.684418, 1.658676, 1.630412, 1.600573, 1.56988, 1.538806, 1.493424, 1.436236, 1.387377, 1.356318, 1.336963, 1.319638, 1.304414, 1.291097, 1.279452, 1.269285, 1.261457, 1.256905, 1.251132, 1.241968, 1.231725, 1.2176, 1.183448, 1.116405, 1.022687, 0.9086335000000001, 0.7796912, 0.6611926000000001, 0.5588491000000001, 0.47268480000000007, 0.4193772, 0.38241260000000005, 0.3392467, 0.3191377, 0.3029153, 0.2888883, 0.2761271, 0.2631538, 0.2348242, 0.22138230000000003, 0.2130187, 0.19215230000000003]"
22481,224800,2n,"[5.760229e-05, 0.01901934, 0.07351194999999999, 0.1498451, 0.2455647, 0.3554318, 0.4555498, 0.5401801, 0.6079034000000001, 0.6459826, 0.6683616, 0.687913, 0.6927345, 0.6939293000000001, 0.6916145, 0.687637, 0.6813624, 0.6542769, 0.6358406, 0.6228149000000001, 0.5807251]"
22481,224790,3n,"[5.144451e-06, 0.002407368]"
22481,224810,nα,"[4.48008e-19, 4.8948e-18, 9.596590000000002e-18, 1.25166e-17, 1.64303e-17, 6.72037e-16, 5.02922e-13, 2.49656e-10, 3.8696950000000005e-09, 5.044098e-08, 4.4340339999999996e-07, 2.708902e-06, 1.5541210000000004e-05, 7.168124e-05, 0.0002691171, 0.0008249560000000001, 0.001634044, 0.002750499, 0.005210226, 0.007153758, 0.009216867, 0.011636420000000001, 0.014311720000000002, 0.017610220000000003, 0.02793734, 0.034335460000000005, 0.038723480000000005, 0.05164865]"
22481,224800,2nα,"[2.13665e-17, 3.30098e-11]"
22481,214800,np,"[1.11904e-10, 6.241054e-08, 2.09517e-06, 5.9588570000000005e-05, 0.0005075665, 0.0023486120000000004, 0.007018133, 0.017008810000000003, 0.03327113, 0.04928542, 0.06566458, 0.09168037999999999, 0.10743990000000002, 0.1222432, 0.13747640000000003, 0.1519552, 0.1671603, 0.2037349, 0.2212425, 0.23199610000000004, 0.2564001]"
22481,224810,n2α,"[3.77267e-24, 1.2532399999999998e-21, 1.03254e-20, 1.56326e-20, 1.9291599999999998e-20, 1.5277700000000003e-17]"
22481,224810,nd,"[7.092369999999999e-14, 4.544467e-08, 5.7023170000000004e-05]"
22481,224810,nt),[6.6045999999999995e-12]
22481,224810,n3He,[6.78444e-17]
22481,214790,2np,[6.500880000000001e-08]
22481,204790,n2p,"[7.215980000000001e-15, 4.16701e-14, 5.799366e-08]"
22481,214800,npα,[1.67332e-19]
22481,224811,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.016408370000000002, 0.16527570000000003, 0.4776699, 1.004623, 1.11986, 1.06123, 1.030326, 1.014222, 0.9892603, 0.9597267, 0.9273030000000001, 0.8711619000000002, 0.8333402, 0.7841249000000001, 0.7171723000000001, 0.6529253, 0.5956696, 0.5267079, 0.478963, 0.4506975, 0.42767410000000006, 0.4159859, 0.3904136, 0.35213910000000004, 0.33040500000000006, 0.3191918, 0.30740310000000004, 0.2949998, 0.2819723, 0.26827320000000004, 0.2549718, 0.24485160000000003, 0.2345528, 0.2251459, 0.21625130000000004, 0.20695770000000002, 0.1984486, 0.1900446, 0.1826462, 0.17627710000000002, 0.16606300000000002, 0.1551451, 0.14936000000000002, 0.14665930000000002, 0.1455792, 0.1443671, 0.1377389, 0.12713170000000001, 0.118784, 0.11283280000000001, 0.10378570000000001, 0.09262701, 0.08541776000000001, 0.08146934, 0.07732657, 0.07339956, 0.06986233, 0.0665549, 0.06328857, 0.0604805, 0.057853009999999996, 0.055186120000000005, 0.052930710000000006, 0.05065363, 0.04842832, 0.04644201, 0.043971970000000006, 0.041387890000000004, 0.03957975, 0.03799645, 0.03640876, 0.03475206, 0.03318733, 0.031598470000000003, 0.02996609, 0.028380350000000002, 0.0267313, 0.02511839, 0.02346905, 0.02185904, 0.020238420000000003, 0.018936500000000002, 0.018159909999999998, 0.017764040000000002, 0.017496730000000002, 0.01686393, 0.01563992, 0.01419727, 0.012818570000000001, 0.01152042, 0.01029236, 0.009137126, 0.0075881030000000006, 0.0057820169999999995, 0.00416839, 0.003082095, 0.0025878230000000004, 0.00215562, 0.001781982, 0.001460724, 0.001186278, 0.0009552314000000001, 0.0007888167, 0.0007006484, 0.0005999426, 0.00046761210000000004, 0.0003598375, 0.00027393830000000004, 0.00020639590000000001, 0.0001521928, 0.0001103678, 7.870758e-05, 5.469421e-05, 3.770618e-05, 2.560085e-05, 1.709707e-05, 1.2412460000000002e-05, 9.443758999999999e-06, 6.306047999999999e-06, 4.994095999999999e-06, 4.005899999999999e-06, 3.217492e-06, 2.581743e-06, 2.023404e-06, 1.044586e-06, 7.032401e-07, 5.209118e-07, 2.444002e-07]"
22481,224812,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.04521051, 0.4553895, 1.31614, 2.768124, 3.086617, 2.925882, 2.841165, 2.797017, 2.728587, 2.647624, 2.558738, 2.404855, 2.301284, 2.16656, 1.983281, 1.807409, 1.650675, 1.462101, 1.33194, 1.254807, 1.191943, 1.159957, 1.089977, 0.9855943, 0.9265744, 0.8960495, 0.8639576, 0.8301925000000001, 0.7947283, 0.7574358000000001, 0.7211892, 0.6934713000000001, 0.6652472, 0.6394166000000001, 0.6149514, 0.5894079, 0.5664812, 0.5440647000000001, 0.5242358, 0.507054, 0.4794997000000001, 0.4500469, 0.43444079999999996, 0.42715500000000006, 0.42424140000000005, 0.4209819000000001, 0.4033611, 0.3749597, 0.35257150000000004, 0.33662260000000005, 0.312485, 0.2824667, 0.2631562, 0.2530601, 0.2424697, 0.23235260000000002, 0.2233565, 0.21493910000000002, 0.206575, 0.1994157, 0.1927367, 0.1859511, 0.1801737, 0.1743313, 0.1685223, 0.163283, 0.1564665, 0.149197, 0.1440712, 0.1392171, 0.13424270000000002, 0.1290289, 0.1237728, 0.1183155, 0.1126396, 0.106879, 0.1008578, 0.09483438, 0.08862207, 0.08250083999999999, 0.07630656000000001, 0.07131030000000001, 0.0683238, 0.06680141, 0.06577341, 0.0633445, 0.05865506, 0.05313861, 0.047884130000000004, 0.04296303, 0.03833758, 0.03401507, 0.02826939, 0.02163985, 0.01574692, 0.011770810000000001, 0.009967496000000001, 0.008381881, 0.006999336, 0.0057984049999999995, 0.0047597030000000005, 0.00387268, 0.003225306, 0.002878705, 0.00247873, 0.0019473609999999999, 0.0015086470000000001, 0.0011547579999999999, 0.0008737393000000001, 0.0006468597, 0.0004709146, 0.0003372826, 0.0002356624, 0.000163558, 0.00011194930000000002, 7.544803e-05, 5.5183020000000005e-05, 4.2234140000000006e-05, 2.842856e-05, 2.26049e-05, 1.819392e-05, 1.4654010000000001e-05, 1.1788000000000001e-05, 9.259672999999998e-06, 4.798390999999999e-06, 3.234968e-06, 2.398443e-06, 1.126433e-06]"
22481,224813,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.011878679999999999, 0.1196497, 0.3458045, 0.7274106, 0.8131352000000001, 0.7725695, 0.751194, 0.7400547000000001, 0.7227887000000001, 0.7023605, 0.6799332, 0.6411439, 0.6152118, 0.5815658, 0.5357938, 0.49187139999999996, 0.45272860000000004, 0.4059326000000001, 0.3742051, 0.3552748, 0.33978860000000005, 0.33179090000000006, 0.3142927, 0.2889194, 0.27516240000000003, 0.2679362, 0.26033900000000004, 0.2523456, 0.2439501, 0.23512170000000002, 0.2264828, 0.2196554, 0.21267680000000003, 0.2062064, 0.20001060000000004, 0.1935678, 0.1884161, 0.18369690000000002, 0.1794142, 0.17557730000000002, 0.16942400000000002, 0.1628467, 0.1593616, 0.1577346, 0.157084, 0.1563749, 0.15294960000000002, 0.1472475, 0.1427179, 0.1394766, 0.1342637, 0.1274854, 0.1234269, 0.12217340000000002, 0.1208643, 0.11959090000000001, 0.11873560000000001, 0.1180351, 0.1173279, 0.11682440000000001, 0.11641950000000001, 0.11601520000000001, 0.1157136, 0.11541570000000001, 0.115042, 0.1146631, 0.1136742, 0.11240190000000001, 0.1114271, 0.10978280000000001, 0.10790310000000002, 0.10588260000000001, 0.10313440000000001, 0.1000396, 0.09666205, 0.09267564, 0.08843807000000001, 0.08383708000000001, 0.07895088, 0.0739307, 0.06873208, 0.06444628, 0.061855770000000004, 0.06053523, 0.05964353, 0.05751545, 0.05336678, 0.048468950000000004, 0.043781280000000006, 0.03938459, 0.035248879999999996, 0.03138586, 0.02626673, 0.020372770000000002, 0.01509854, 0.01149899, 0.009874873, 0.008434005000000001, 0.007163407, 0.006042937, 0.00505635, 0.004194426, 0.003551659, 0.003201052, 0.002789147, 0.002230007, 0.0017556350000000002, 0.001362923, 0.001043583, 0.0007813299, 0.0005746465, 0.00041558510000000003, 0.00029329960000000005, 0.00020571320000000004, 0.00014246080000000002, 9.726881000000001e-05, 7.191904e-05, 5.5546770000000006e-05, 3.7888340000000004e-05, 3.0346220000000002e-05, 2.458665e-05, 1.992134e-05, 1.6118070000000002e-05, 1.2735730000000001e-05, 6.685208e-06, 4.537302e-06, 3.3817469999999996e-06, 1.601748e-06]"
22481,224814,n,"[7.32025e-22, 3.2509899999999995e-21, 5.202759999999999e-21, 8.30301e-21, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 0.02635465, 0.2654611, 0.7672199000000001, 1.613722, 1.801133, 1.708851, 1.660217, 1.634872, 1.595588, 1.549109, 1.498082, 1.409767, 1.350452, 1.273357, 1.168477, 1.067835, 0.9781446000000001, 0.8704795000000001, 0.7966300000000001, 0.7527452000000001, 0.7169274, 0.6985975, 0.6584939000000001, 0.5990884000000001, 0.5657704, 0.5484394, 0.5302188, 0.5110482000000001, 0.49091290000000004, 0.46973960000000003, 0.4491116, 0.4331533000000001, 0.4168813, 0.4019214, 0.3876974, 0.37285900000000005, 0.359843, 0.34726880000000004, 0.336056, 0.3262351, 0.3104855, 0.29365070000000004, 0.2847305, 0.28056610000000004, 0.2789007, 0.2770451, 0.2671564, 0.2510439, 0.23831159999999998, 0.2292093, 0.2148573, 0.196727, 0.1851152, 0.1793401, 0.17328390000000002, 0.16745810000000003, 0.16234150000000003, 0.1575564, 0.15277970000000002, 0.1488083, 0.145178, 0.1414998, 0.13842859999999998, 0.1353349, 0.1322635, 0.1294957, 0.1257637, 0.1217261, 0.11885060000000001, 0.1158621, 0.1127278, 0.1094206, 0.1057734, 0.10188040000000001, 0.09775375, 0.09329259000000001, 0.08859364, 0.08369426, 0.07856345, 0.07338012000000001, 0.06806077, 0.06370526, 0.061081640000000006, 0.05974422, 0.058841130000000005, 0.05668869, 0.052497850000000006, 0.04754712, 0.04280317, 0.03834459, 0.03414493, 0.03021502, 0.024998589999999998, 0.01901512, 0.01376587, 0.01026764, 0.008696358999999999, 0.0073241420000000005, 0.006135619, 0.005106325, 0.004217360000000001, 0.003456228, 0.0028982039999999997, 0.00259757, 0.0022484600000000003, 0.001780446, 0.00138904, 0.001069086, 0.0008118315000000001, 0.0006023741000000001, 0.00043879140000000004, 0.0003140589, 0.0002191452, 0.00015194470000000002, 0.0001040211, 7.024495e-05, 5.152551e-05, 3.95604e-05, 2.6776170000000004e-05, 2.1362540000000004e-05, 1.7249370000000003e-05, 1.393462e-05, 1.1241850000000001e-05, 8.856565e-06, 4.616556e-06, 3.120435e-06, 2.317727e-06, 1.090311e-06]"
